date,rlg_price,rlv_price,vix_price,spread,rlg_return,rlv_return,vix_index,r_growth_(t-1),r_value_(t-1),p_growth_(t-1),p_value_(t-1),p_joint_(t-1),p_spread_(t-1),spread
datetime,float,float,float,float,float,float,float,float,float,float,float,float,float,float
T,,,,,,,,,,,,,,
9/3/1992 0:00,202.61,201.51,12.88,-0.43%,0.26%,-0.17%,12.73%,0.46%,0.5079%,62.6721%,43.2635%,61.52%,52.0624%,-0.4300%
9/4/1992 0:00,202.34,200.96,12.98,-0.14%,-0.13%,-0.27%,12.88%,0.2600%,-0.1700%,56.9163%,43.2635%,33.47%,32.2937%,-0.1397%
9/7/1992 0:00,202.34,200.96,12.98,0.00%,0.00%,0.00%,12.98%,-0.1333%,-0.2729%,45.1256%,39.8676%,24.43%,44.0266%,0.0000%
9/8/1992 0:00,201.25,199.49,13.65,-0.19%,-0.54%,-0.73%,12.98%,0.0000%,0.0000%,49.1249%,48.9701%,35.29%,49.9389%,-0.1928%
9/9/1992 0:00,202.25,200.25,13.36,-0.12%,0.50%,0.38%,13.65%,-0.5387%,-0.7315%,33.4178%,25.9531%,11.95%,41.8058%,-0.1159%
9/10/1992 0:00,204.03,201.79,12.92,-0.11%,0.88%,0.77%,13.36%,0.4969%,0.3810%,63.7951%,61.6596%,59.42%,45.0264%,-0.1111%
9/11/1992 0:00,204.47,201.41,12.47,-0.40%,0.22%,-0.19%,12.92%,0.8801%,0.7690%,73.9606%,73.3991%,74.89%,45.2315%,-0.4040%
9/14/1992 0:00,207.54,204.11,13.00,-0.16%,1.50%,1.34%,12.47%,0.2157%,-0.1883%,55.5979%,42.6549%,32.24%,33.2952%,-0.1609%
9/15/1992 0:00,204.99,201.66,13.63,0.03%,-1.23%,-1.20%,13.00%,1.5014%,1.3405%,86.6707%,86.6183%,88.68%,43.1369%,0.0283%
9/16/1992 0:00,205.29,201.24,14.72,-0.35%,0.15%,-0.21%,13.63%,-1.2287%,-1.2003%,17.1304%,14.8817%,5.24%,51.1431%,-0.3546%
9/17/1992 0:00,205.39,201.05,14.31,-0.14%,0.05%,-0.09%,14.72%,0.1463%,-0.2083%,53.5256%,41.9937%,30.70%,35.2263%,-0.1431%
9/18/1992 0:00,206.54,202.36,13.74,0.09%,0.56%,0.65%,14.31%,0.0487%,-0.0944%,50.5911%,45.7906%,33.27%,43.8818%,0.0917%
9/21/1992 0:00,206.13,202.19,13.45,0.11%,-0.20%,-0.08%,13.74%,0.5599%,0.6516%,65.5619%,70.0394%,66.79%,53.8279%,0.1145%
9/22/1992 0:00,203.45,200.38,13.88,0.40%,-1.30%,-0.90%,13.45%,-0.1985%,-0.0840%,43.1829%,46.1401%,27.75%,54.7923%,0.4050%
9/23/1992 0:00,203.69,200.23,13.83,-0.19%,0.12%,-0.07%,13.88%,-1.3002%,-0.8952%,15.7942%,21.6720%,6.32%,66.6315%,-0.1928%
9/24/1992 0:00,203.83,201.26,13.44,0.45%,0.07%,0.51%,13.83%,0.1180%,-0.0749%,52.6738%,46.4476%,35.36%,41.8045%,0.4457%
9/25/1992 0:00,200.78,200.19,14.80,0.96%,-1.50%,-0.53%,13.44%,0.0687%,0.5144%,51.1936%,65.8900%,47.66%,68.1941%,0.9647%
9/28/1992 0:00,201.37,201.13,15.19,0.18%,0.29%,0.47%,14.80%,-1.4963%,-0.5317%,12.4869%,31.7147%,6.76%,84.7533%,0.1757%
9/29/1992 0:00,201.62,201.31,14.97,-0.03%,0.12%,0.09%,15.19%,0.2939%,0.4696%,57.9176%,64.4871%,55.99%,57.3619%,-0.0347%
9/30/1992 0:00,201.95,202.26,14.28,0.31%,0.16%,0.47%,14.97%,0.1241%,0.0895%,52.8595%,51.9903%,41.62%,48.4668%,0.3082%
10/1/1992 0:00,201.16,201.57,16.31,0.05%,-0.39%,-0.34%,14.28%,0.1637%,0.4719%,54.0447%,64.5612%,51.31%,62.8072%,0.0500%
10/2/1992 0:00,198.23,199.11,17.79,0.24%,-1.46%,-1.22%,16.31%,-0.3912%,-0.3411%,37.5583%,37.6575%,19.00%,52.0642%,0.2361%
10/5/1992 0:00,196.84,197.53,20.01,-0.09%,-0.70%,-0.79%,17.79%,-1.4566%,-1.2204%,13.1152%,14.4910%,4.49%,59.8691%,-0.0923%
10/6/1992 0:00,196.59,198.01,19.95,0.37%,-0.13%,0.24%,20.01%,-0.7012%,-0.7935%,29.0809%,24.2810%,10.17%,46.0227%,0.3700%
10/7/1992 0:00,195.47,196.71,21.02,-0.09%,-0.57%,-0.66%,19.95%,-0.1270%,0.2430%,45.3125%,57.1347%,36.15%,65.2671%,-0.0868%
10/8/1992 0:00,197.61,197.84,19.26,-0.52%,1.09%,0.57%,21.02%,-0.5697%,-0.6565%,32.5704%,28.0497%,12.54%,46.2555%,-0.5203%
10/9/1992 0:00,195.19,195.68,20.51,0.13%,-1.22%,-1.09%,19.26%,1.0948%,0.5744%,78.9339%,67.7339%,72.59%,28.9199%,0.1328%
10/12/1992 0:00,197.05,197.95,19.49,0.21%,0.95%,1.16%,20.51%,-1.2246%,-1.0918%,17.2082%,17.1139%,5.73%,55.5651%,0.2071%
10/13/1992 0:00,198.32,198.69,17.90,-0.27%,0.64%,0.37%,19.49%,0.9529%,1.1601%,75.7122%,83.0413%,80.99%,58.6707%,-0.2707%
10/14/1992 0:00,198.79,198.25,18.42,-0.46%,0.24%,-0.22%,17.90%,0.6445%,0.3738%,67.8808%,61.4287%,61.81%,38.5980%,-0.4584%
10/15/1992 0:00,199.30,198.01,17.11,-0.38%,0.26%,-0.12%,18.42%,0.2370%,-0.2215%,56.2331%,41.5583%,31.15%,31.2141%,-0.3776%
10/16/1992 0:00,200.42,198.79,17.01,-0.17%,0.56%,0.39%,17.11%,0.2566%,-0.1211%,56.8140%,44.8973%,35.49%,34.3215%,-0.1680%
10/19/1992 0:00,202.46,200.08,17.31,-0.37%,1.02%,0.65%,17.01%,0.5620%,0.3939%,65.6190%,62.0772%,61.07%,42.8376%,-0.3689%
10/20/1992 0:00,202.66,200.41,16.87,0.07%,0.10%,0.16%,17.31%,1.0179%,0.6489%,77.2190%,69.9614%,73.94%,34.6619%,0.0661%
10/21/1992 0:00,202.91,200.45,16.62,-0.10%,0.12%,0.02%,16.87%,0.0988%,0.1649%,52.0974%,54.5280%,43.11%,52.7473%,-0.1034%
10/22/1992 0:00,202.60,199.91,15.84,-0.12%,-0.15%,-0.27%,16.62%,0.1234%,0.0200%,52.8358%,49.6437%,39.14%,45.5547%,-0.1166%
