date,spread
datetime,float
T,
9/3/1992 0:00:00,-0.43%
9/4/1992 0:00:00,-0.14%
9/7/1992 0:00:00,0.00%
9/8/1992 0:00:00,-0.19%
9/9/1992 0:00:00,-0.12%
9/10/1992 0:00:00,-0.11%
9/11/1992 0:00:00,-0.40%
9/14/1992 0:00:00,-0.16%
9/15/1992 0:00:00,0.03%
9/16/1992 0:00:00,-0.35%
9/17/1992 0:00:00,-0.14%
9/18/1992 0:00:00,0.09%
9/21/1992 0:00:00,0.11%
9/22/1992 0:00:00,0.40%
9/23/1992 0:00:00,-0.19%
9/24/1992 0:00:00,0.45%
9/25/1992 0:00:00,0.96%
9/28/1992 0:00:00,0.18%
9/29/1992 0:00:00,-0.03%
9/30/1992 0:00:00,0.31%
10/1/1992 0:00:00,0.05%
10/2/1992 0:00:00,0.24%
10/5/1992 0:00:00,-0.09%
10/6/1992 0:00:00,0.37%
10/7/1992 0:00:00,-0.09%
10/8/1992 0:00:00,-0.52%
10/9/1992 0:00:00,0.13%
10/12/1992 0:00:00,0.21%
10/13/1992 0:00:00,-0.27%
10/14/1992 0:00:00,-0.46%
10/15/1992 0:00:00,-0.38%
10/16/1992 0:00:00,-0.17%
10/19/1992 0:00:00,-0.37%
10/20/1992 0:00:00,0.07%
10/21/1992 0:00:00,-0.10%
10/22/1992 0:00:00,-0.12%
10/23/1992 0:00:00,0.47%
10/26/1992 0:00:00,-0.28%
10/27/1992 0:00:00,-0.02%
10/28/1992 0:00:00,0.08%
10/29/1992 0:00:00,-0.27%
10/30/1992 0:00:00,-0.04%
11/2/1992 0:00:00,-0.21%
11/3/1992 0:00:00,0.27%
11/4/1992 0:00:00,0.10%
11/5/1992 0:00:00,-0.45%
11/6/1992 0:00:00,-0.20%
11/9/1992 0:00:00,-0.24%
11/10/1992 0:00:00,-0.42%
11/11/1992 0:00:00,-1.01%
11/12/1992 0:00:00,-0.05%
11/13/1992 0:00:00,0.05%
11/16/1992 0:00:00,-0.02%
11/17/1992 0:00:00,0.07%
11/18/1992 0:00:00,-0.21%
11/19/1992 0:00:00,-0.16%
11/20/1992 0:00:00,0.01%
11/23/1992 0:00:00,0.28%
11/24/1992 0:00:00,-0.17%
11/25/1992 0:00:00,0.44%
11/26/1992 0:00:00,0.00%
11/27/1992 0:00:00,0.17%
11/30/1992 0:00:00,0.43%
12/1/1992 0:00:00,0.00%
12/2/1992 0:00:00,0.09%
12/3/1992 0:00:00,-0.02%
12/4/1992 0:00:00,-0.09%
12/7/1992 0:00:00,-0.18%
12/8/1992 0:00:00,0.14%
12/9/1992 0:00:00,-0.10%
12/10/1992 0:00:00,0.32%
12/11/1992 0:00:00,0.15%
12/14/1992 0:00:00,0.10%
12/15/1992 0:00:00,-0.01%
12/16/1992 0:00:00,0.14%
12/17/1992 0:00:00,-0.34%
12/18/1992 0:00:00,-0.44%
12/21/1992 0:00:00,-0.02%
12/22/1992 0:00:00,0.61%
12/23/1992 0:00:00,0.59%
12/24/1992 0:00:00,-0.23%
12/25/1992 0:00:00,0.00%
12/28/1992 0:00:00,-0.16%
12/29/1992 0:00:00,0.21%
12/30/1992 0:00:00,0.11%
12/31/1992 0:00:00,0.49%
1/1/1993 0:00:00,0.00%
1/4/1993 0:00:00,0.41%
1/5/1993 0:00:00,0.32%
1/6/1993 0:00:00,1.10%
1/7/1993 0:00:00,-0.01%
1/8/1993 0:00:00,-0.59%
1/11/1993 0:00:00,0.11%
1/12/1993 0:00:00,0.30%
1/13/1993 0:00:00,0.34%
1/14/1993 0:00:00,0.02%
1/15/1993 0:00:00,0.04%
1/18/1993 0:00:00,0.75%
1/19/1993 0:00:00,1.15%
1/20/1993 0:00:00,-0.31%
1/21/1993 0:00:00,-0.15%
1/22/1993 0:00:00,0.10%
1/25/1993 0:00:00,-0.03%
1/26/1993 0:00:00,0.36%
1/27/1993 0:00:00,0.22%
1/28/1993 0:00:00,-0.09%
1/29/1993 0:00:00,-0.16%
2/1/1993 0:00:00,0.42%
2/2/1993 0:00:00,0.55%
2/3/1993 0:00:00,-0.11%
2/4/1993 0:00:00,0.99%
2/5/1993 0:00:00,0.18%
2/8/1993 0:00:00,0.48%
2/9/1993 0:00:00,0.25%
2/10/1993 0:00:00,-0.23%
2/11/1993 0:00:00,0.05%
