,RLG Index,RLV Index,VIX Index,,,,RLG Index,RLV Index,,,,,,,,,,
,PX_LAST,PX_LAST,PX_LAST,Spread,,,Return,Return,,,,,,,,,,
#NAME?,200.00,#NAME?,#NAME?,,,,,,,,,,,,,,,
9/1/92,201.17,200.83,13.40,#NAME?,,,0.58%,#NAME?,,,vix_index,r_growth_(t-1),r_value_(t-1),p_growth_(t-1),p_value_(t-1),p_joint_(t-1),p_spread_(t-1),spread
9/2/92,202.09,201.85,12.73,0.05%,,,0.46%,0.51%,,9/2/92,13.40%,0.5850%,#NAME?,66.2584%,#NAME?,62.09%,#NAME?,0.0506%
9/3/92,202.61,201.51,12.88,-0.43%,,,0.26%,-0.17%,,9/3/92,12.73%,0.4573%,0.5079%,62.6721%,#NAME?,61.52%,#NAME?,-0.4258%
9/4/92,202.34,200.96,12.98,-0.14%,,,-0.13%,-0.27%,,9/4/92,12.88%,0.2573%,-0.1684%,56.8380%,#NAME?,33.47%,#NAME?,-0.1397%
9/7/92,202.34,200.96,12.98,0.00%,,,0.00%,0.00%,,9/7/92,12.98%,-0.1333%,-0.2729%,45.1263%,#NAME?,24.43%,#NAME?,0.0000%
9/8/92,201.25,199.49,13.65,-0.19%,,,-0.54%,-0.73%,,9/8/92,12.98%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,-0.1928%
9/9/92,202.25,200.25,13.36,-0.12%,,,0.50%,0.38%,,9/9/92,13.65%,-0.5387%,-0.7315%,33.4175%,#NAME?,11.95%,#NAME?,-0.1159%
9/10/92,204.03,201.79,12.92,-0.11%,,,0.88%,0.77%,,9/10/92,13.36%,0.4969%,0.3810%,63.7971%,#NAME?,59.42%,#NAME?,-0.1111%
9/11/92,204.47,201.41,12.47,-0.40%,,,0.22%,-0.19%,,9/11/92,12.92%,0.8801%,0.7690%,73.9630%,#NAME?,74.89%,#NAME?,-0.4040%
9/14/92,207.54,204.11,13.00,-0.16%,,,1.50%,1.34%,,9/14/92,12.47%,0.2157%,-0.1883%,55.5993%,#NAME?,32.24%,#NAME?,-0.1609%
9/15/92,204.99,201.66,13.63,0.03%,,,-1.23%,-1.20%,,9/15/92,13.00%,1.5014%,1.3405%,86.6731%,#NAME?,88.68%,#NAME?,0.0283%
9/16/92,205.29,201.24,14.72,-0.35%,,,0.15%,-0.21%,,9/16/92,13.63%,-1.2287%,-1.2003%,17.1292%,#NAME?,5.24%,#NAME?,-0.3546%
9/17/92,205.39,201.05,14.31,-0.14%,,,0.05%,-0.09%,,9/17/92,14.72%,0.1463%,-0.2083%,53.5269%,#NAME?,30.70%,#NAME?,-0.1431%
9/18/92,206.54,202.36,13.74,0.09%,,,0.56%,0.65%,,9/18/92,14.31%,0.0487%,-0.0944%,50.5922%,#NAME?,33.27%,#NAME?,0.0917%
9/21/92,206.13,202.19,13.45,0.11%,,,-0.20%,-0.08%,,9/21/92,13.74%,0.5599%,0.6516%,65.5640%,#NAME?,66.79%,#NAME?,0.1145%
9/22/92,203.45,200.38,13.88,0.40%,,,-1.30%,-0.90%,,9/22/92,13.45%,-0.1985%,-0.0840%,43.1834%,#NAME?,27.75%,#NAME?,0.4050%
9/23/92,203.69,200.23,13.83,-0.19%,,,0.12%,-0.07%,,9/23/92,13.88%,-1.3002%,-0.8952%,15.7930%,#NAME?,6.32%,#NAME?,-0.1928%
9/24/92,203.83,201.26,13.44,0.45%,,,0.07%,0.51%,,9/24/92,13.83%,0.1180%,-0.0749%,52.6750%,#NAME?,35.36%,#NAME?,0.4457%
9/25/92,200.78,200.19,14.80,0.96%,,,-1.50%,-0.53%,,9/25/92,13.44%,0.0687%,0.5144%,51.1947%,#NAME?,47.66%,#NAME?,0.9647%
9/28/92,201.37,201.13,15.19,0.18%,,,0.29%,0.47%,,9/28/92,14.80%,-1.4963%,-0.5317%,12.4856%,#NAME?,6.76%,#NAME?,0.1757%
9/29/92,201.62,201.31,14.97,-0.03%,,,0.12%,0.09%,,9/29/92,15.19%,0.2939%,0.4696%,57.9192%,#NAME?,55.99%,#NAME?,-0.0347%
9/30/92,201.95,202.26,14.28,0.31%,,,0.16%,0.47%,,9/30/92,14.97%,0.1241%,0.0895%,52.8607%,#NAME?,41.62%,#NAME?,0.3082%
10/1/92,201.16,201.57,16.31,0.05%,,,-0.39%,-0.34%,,10/1/92,14.28%,0.1637%,0.4719%,54.0461%,#NAME?,51.31%,#NAME?,0.0500%
10/2/92,198.23,199.11,17.79,0.24%,,,-1.46%,-1.22%,,10/2/92,16.31%,-0.3912%,-0.3411%,37.5583%,#NAME?,19.00%,#NAME?,0.2361%
10/5/92,196.84,197.53,20.01,-0.09%,,,-0.70%,-0.79%,,10/5/92,17.79%,-1.4566%,-1.2204%,13.1139%,#NAME?,4.49%,#NAME?,-0.0923%
10/6/92,196.59,198.01,19.95,0.37%,,,-0.13%,0.24%,,10/6/92,20.01%,-0.7012%,-0.7935%,29.0803%,#NAME?,10.17%,#NAME?,0.3700%
10/7/92,195.47,196.71,21.02,-0.09%,,,-0.57%,-0.66%,,10/7/92,19.95%,-0.1270%,0.2430%,45.3132%,#NAME?,36.15%,#NAME?,-0.0868%
10/8/92,197.61,197.84,19.26,-0.52%,,,1.09%,0.57%,,10/8/92,21.02%,-0.5697%,-0.6565%,32.5700%,#NAME?,12.54%,#NAME?,-0.5203%
10/9/92,195.19,195.68,20.51,0.13%,,,-1.22%,-1.09%,,10/9/92,19.26%,1.0948%,0.5744%,78.9364%,#NAME?,72.59%,#NAME?,0.1328%
10/12/92,197.05,197.95,19.49,0.21%,,,0.95%,1.16%,,10/12/92,20.51%,-1.2246%,-1.0918%,17.2070%,#NAME?,5.73%,#NAME?,0.2071%
10/13/92,198.32,198.69,17.90,-0.27%,,,0.64%,0.37%,,10/13/92,19.49%,0.9529%,1.1601%,75.7147%,#NAME?,80.99%,#NAME?,-0.2707%
10/14/92,198.79,198.25,18.42,-0.46%,,,0.24%,-0.22%,,10/14/92,17.90%,0.6445%,0.3738%,67.8830%,#NAME?,61.81%,#NAME?,-0.4584%
10/15/92,199.30,198.01,17.11,-0.38%,,,0.26%,-0.12%,,10/15/92,18.42%,0.2370%,-0.2215%,56.2346%,#NAME?,31.15%,#NAME?,-0.3776%
10/16/92,200.42,198.79,17.01,-0.17%,,,0.56%,0.39%,,10/16/92,17.11%,0.2566%,-0.1211%,56.8155%,#NAME?,35.49%,#NAME?,-0.1680%
10/19/92,202.46,200.08,17.31,-0.37%,,,1.02%,0.65%,,10/19/92,17.01%,0.5620%,0.3939%,65.6211%,#NAME?,61.07%,#NAME?,-0.3689%
10/20/92,202.66,200.41,16.87,0.07%,,,0.10%,0.16%,,10/20/92,17.31%,1.0179%,0.6489%,77.2215%,#NAME?,73.94%,#NAME?,0.0661%
10/21/92,202.91,200.45,16.62,-0.10%,,,0.12%,0.02%,,10/21/92,16.87%,0.0988%,0.1649%,52.0986%,#NAME?,43.11%,#NAME?,-0.1034%
10/22/92,202.60,199.91,15.84,-0.12%,,,-0.15%,-0.27%,,10/22/92,16.62%,0.1234%,0.0200%,52.8370%,#NAME?,39.14%,#NAME?,-0.1166%
10/23/92,201.87,200.12,16.46,0.47%,,,-0.36%,0.11%,,10/23/92,15.84%,-0.1528%,-0.2694%,44.5437%,#NAME?,24.19%,#NAME?,0.4654%
10/26/92,203.94,201.61,16.32,-0.28%,,,1.03%,0.74%,,10/26/92,16.46%,-0.3603%,0.1050%,38.4453%,#NAME?,26.83%,#NAME?,-0.2809%
10/27/92,204.01,201.64,16.24,-0.02%,,,0.03%,0.01%,,10/27/92,16.32%,1.0254%,0.7446%,77.3932%,#NAME?,76.17%,#NAME?,-0.0194%
10/28/92,204.77,202.55,15.95,0.08%,,,0.37%,0.45%,,10/28/92,16.24%,0.0343%,0.0149%,50.1591%,#NAME?,36.71%,#NAME?,0.0788%
10/29/92,205.62,202.85,15.47,-0.27%,,,0.42%,0.15%,,10/29/92,15.95%,0.3725%,0.4513%,60.2258%,#NAME?,58.05%,#NAME?,-0.2670%
10/30/92,204.83,201.98,16.15,-0.04%,,,-0.38%,-0.43%,,10/30/92,15.47%,0.4151%,0.1481%,61.4596%,#NAME?,49.96%,#NAME?,-0.0447%
11/2/92,206.82,203.52,16.67,-0.21%,,,0.97%,0.76%,,11/2/92,16.15%,-0.3842%,-0.4289%,37.7584%,#NAME?,17.63%,#NAME?,-0.2091%
11/3/92,205.31,202.59,17.33,0.27%,,,-0.73%,-0.46%,,11/3/92,16.67%,0.9715%,0.7625%,76.1521%,#NAME?,75.93%,#NAME?,0.2731%
11/4/92,204.03,201.53,16.28,0.10%,,,-0.62%,-0.52%,,11/4/92,17.33%,-0.7301%,-0.4570%,28.3374%,#NAME?,13.16%,#NAME?,0.1002%
11/5/92,205.25,201.82,15.38,-0.45%,,,0.60%,0.14%,,11/5/92,16.28%,-0.6234%,-0.5232%,31.1231%,#NAME?,13.57%,#NAME?,-0.4541%
11/6/92,205.29,201.46,14.69,-0.20%,,,0.02%,-0.18%,,11/6/92,15.38%,0.5980%,0.1439%,66.6147%,#NAME?,52.17%,#NAME?,-0.1979%
11/9/92,206.14,201.81,14.23,-0.24%,,,0.41%,0.17%,,11/9/92,14.69%,0.0195%,-0.1784%,49.7125%,#NAME?,29.83%,#NAME?,-0.2403%
11/10/92,206.76,201.57,14.37,-0.42%,,,0.30%,-0.12%,,11/10/92,14.23%,0.4140%,0.1737%,61.4293%,#NAME?,50.98%,#NAME?,-0.4197%
11/11/92,209.57,202.28,13.99,-1.01%,,,1.36%,0.35%,,11/11/92,14.37%,0.3008%,-0.1189%,58.1231%,#NAME?,36.06%,#NAME?,-1.0068%
11/12/92,209.83,202.42,14.37,-0.05%,,,0.12%,0.07%,,11/12/92,13.99%,1.3591%,0.3522%,84.2222%,#NAME?,65.75%,#NAME?,-0.0549%
11/13/92,209.72,202.41,14.61,0.05%,,,-0.05%,0.00%,,11/13/92,14.37%,0.1241%,0.0692%,52.8581%,#NAME?,40.93%,#NAME?,0.0475%
11/16/92,208.94,201.61,14.86,-0.02%,,,-0.37%,-0.40%,,11/16/92,14.61%,-0.0524%,-0.0049%,47.5492%,#NAME?,33.67%,#NAME?,-0.0233%
11/17/92,208.05,200.90,15.01,0.07%,,,-0.43%,-0.35%,,11/17/92,14.86%,-0.3719%,-0.3952%,38.1110%,#NAME?,18.35%,#NAME?,0.0738%
11/18/92,209.98,202.35,14.55,-0.21%,,,0.93%,0.72%,,11/18/92,15.01%,-0.4260%,-0.3522%,36.5671%,#NAME?,18.32%,#NAME?,-0.2059%
11/19/92,210.57,202.59,14.33,-0.16%,,,0.28%,0.12%,,11/19/92,14.55%,0.9277%,0.7218%,75.1145%,#NAME?,74.61%,#NAME?,-0.1624%
11/20/92,212.01,204.00,13.67,0.01%,,,0.68%,0.70%,,11/20/92,14.33%,0.2810%,0.1186%,57.5389%,#NAME?,46.34%,#NAME?,0.0121%
11/23/92,211.01,203.60,13.40,0.28%,,,-0.47%,-0.20%,,11/23/92,13.67%,0.6839%,0.6960%,68.9390%,#NAME?,70.32%,#NAME?,0.2756%
11/24/92,212.46,204.66,12.66,-0.17%,,,0.69%,0.52%,,11/24/92,13.40%,-0.4717%,-0.1961%,35.2775%,#NAME?,20.00%,#NAME?,-0.1665%
